"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0"
"3",1,"Justin Jefferson",MIN,"WR2","6","2 out of 5 stars","+1"
"4",1,"CeeDee Lamb",DAL,"WR3","10","2 out of 5 stars","+2"
"5",2,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","0"
"6",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+3"
"7",2,"Amon-Ra St. Brown",DET,"WR5","8","3 out of 5 stars","+3"
"8",2,"Puka Nacua",LAR,"WR6","8","3 out of 5 stars","-1"
"9",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-6"
"10",2,"Nico Collins",HOU,"WR7","6","4 out of 5 stars","+4"
"11",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+4"
"12",3,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-4"
"13",3,"Drake London",ATL,"WR9","5","3 out of 5 stars","+6"
"14",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+3"
"15",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","+3"
"16",3,"De'Von Achane",MIA,"RB5","12","4 out of 5 stars","-3"
"17",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+8"
"18",3,"Ashton Jeanty",LV,"RB6","8","2 out of 5 stars","-7"
"19",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+8"
"20",4,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+12"
"21",4,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-9"
"22",4,"Garrett Wilson",NYJ,"WR13","9","4 out of 5 stars","+14"
"23",4,"Tee Higgins",CIN,"WR14","10","3 out of 5 stars","+5"
"24",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-1"
"25",4,"Tyreek Hill",MIA,"WR15","12","3 out of 5 stars","+5"
"26",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-5"
"27",4,"Chase Brown",CIN,"RB8","10","4 out of 5 stars","-1"
"28",4,"Bucky Irving",TB,"RB9","9","3 out of 5 stars","-6"
"29",4,"Josh Jacobs",GB,"RB10","5","4 out of 5 stars","-13"
"30",4,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+9"
"31",4,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-11"
"32",5,"Mike Evans",TB,"WR17","9","3 out of 5 stars","+8"
"33",5,"George Kittle",SF,"TE3","14","3 out of 5 stars","+5"
"34",5,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-5"
"35",5,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-11"
"36",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","-1"
"37",5,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+5"
"38",5,"DJ Moore",CHI,"WR19","5","2 out of 5 stars","+8"
"39",5,"Terry McLaurin",WAS,"WR20","12","3 out of 5 stars","+5"
"40",5,"Alvin Kamara",NO,"RB13","11","4 out of 5 stars","-3"
"41",5,"Breece Hall",NYJ,"RB14","9","5 out of 5 stars","-8"
"42",5,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars","-1"
"43",5,"DK Metcalf",PIT,"WR21","5","4 out of 5 stars","+5"
"44",5,"James Cook",BUF,"RB16","7","4 out of 5 stars","-13"
"45",5,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars","+4"
"46",6,"Omarion Hampton",LAC,"RB17","12","2 out of 5 stars","-3"
"47",6,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-13"
"48",6,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+4"
"49",6,"Tetairoa McMillan",CAR,"WR24","14","4 out of 5 stars","+11"
"50",6,"Zay Flowers",BAL,"WR25","7","3 out of 5 stars","+7"
"51",6,"James Conner",ARI,"RB18","8","3 out of 5 stars","-4"
"52",6,"Chuba Hubbard",CAR,"RB19","14","3 out of 5 stars","-7"
"53",6,"Jaylen Waddle",MIA,"WR26","12","3 out of 5 stars","+20"
"54",6,"Xavier Worthy",KC,"WR27","10","3 out of 5 stars","0"
"55",6,"Rashee Rice",KC,"WR28","10","3 out of 5 stars","-2"
"56",6,"Jameson Williams",DET,"WR29","8","3 out of 5 stars","+3"
"57",6,"George Pickens",DAL,"WR30","10","2 out of 5 stars","+12"
"58",6,"Calvin Ridley",TEN,"WR31","10","4 out of 5 stars","+10"
"59",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-8"
"60",6,"TreVeyon Henderson",NE,"RB20","14","4 out of 5 stars","-5"
"61",6,"Chris Olave",NO,"WR32","11","4 out of 5 stars","+16"
"62",6,"David Montgomery",DET,"RB21","8","2 out of 5 stars","-6"
"63",7,"T.J. Hockenson",MIN,"TE4","6","3 out of 5 stars","-1"
"64",7,"D'Andre Swift",CHI,"RB22","5","3 out of 5 stars","-6"
"65",7,"Travis Hunter",JAC,"WR33","8","4 out of 5 stars","0"
"66",7,"Jerry Jeudy",CLE,"WR34","9","2 out of 5 stars","+9"
"67",7,"Tony Pollard",TEN,"RB23","10","2 out of 5 stars","+5"
"68",7,"Aaron Jones Sr.",MIN,"RB24","6","3 out of 5 stars","-4"
"69",7,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars","-6"
"70",7,"Sam LaPorta",DET,"TE5","8","3 out of 5 stars","-20"
"71",7,"Travis Kelce",KC,"TE6","10","3 out of 5 stars","-10"
"72",7,"Isiah Pacheco",KC,"RB25","10","2 out of 5 stars","-2"
"73",7,"RJ Harvey",DEN,"RB26","12","2 out of 5 stars","-7"
"74",7,"Stefon Diggs",NE,"WR35","14","3 out of 5 stars","+10"
"75",7,"Bo Nix",DEN,"QB8","12","4 out of 5 stars","-4"
"76",7,"Jakobi Meyers",LV,"WR36","8","4 out of 5 stars","+12"
"77",7,"Rome Odunze",CHI,"WR37","5","2 out of 5 stars","+1"
"78",7,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+3"
"79",7,"Evan Engram",DEN,"TE7","12","3 out of 5 stars","+4"
"80",7,"Kaleb Johnson",PIT,"RB27","5","4 out of 5 stars","-6"
"81",7,"Tyrone Tracy Jr.",NYG,"RB28","14","3 out of 5 stars","+5"
"82",7,"David Njoku",CLE,"TE8","9","3 out of 5 stars","+7"
"83",7,"Brian Robinson Jr.",WAS,"RB29","12","2 out of 5 stars","-4"
"84",8,"Chris Godwin",TB,"WR38","9","3 out of 5 stars","+3"
"85",8,"Dak Prescott",DAL,"QB10","10","2 out of 5 stars","+14"
"86",8,"Jaylen Warren",PIT,"RB30","5","4 out of 5 stars","+4"
"87",8,"Mark Andrews",BAL,"TE9","7","3 out of 5 stars","-11"
"88",8,"Jauan Jennings",SF,"WR39","14","4 out of 5 stars","+4"
"89",8,"Khalil Shakir",BUF,"WR40","7","3 out of 5 stars","+5"
"90",8,"Joe Mixon",HOU,"RB31","6","2 out of 5 stars","-23"
"91",8,"Jordan Addison",MIN,"WR41","6","2 out of 5 stars","-9"
"92",8,"Ricky Pearsall",SF,"WR42","14","4 out of 5 stars","+6"
"93",8,"Brock Purdy",SF,"QB11","14","4 out of 5 stars","+2"
"94",8,"Justin Fields",NYJ,"QB12","9","5 out of 5 stars","+7"
"95",8,"Josh Downs",IND,"WR43","11","4 out of 5 stars","+19"
"96",8,"Deebo Samuel Sr.",WAS,"WR44","12","3 out of 5 stars","-16"
"97",8,"Travis Etienne Jr.",JAC,"RB32","8","2 out of 5 stars","-1"
"98",8,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+9"
"99",8,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+17"
"100",8,"Michael Pittman Jr.",IND,"WR45","11","4 out of 5 stars","+18"
"101",8,"Jared Goff",DET,"QB15","8","2 out of 5 stars","-4"
"102",8,"Emeka Egbuka",TB,"WR46","9","3 out of 5 stars","+7"
"103",8,"Drake Maye",NE,"QB16","14","5 out of 5 stars","+26"
"104",8,"Jayden Reed",GB,"WR47","5","2 out of 5 stars","+8"
"105",8,"Cooper Kupp",SEA,"WR48","8","3 out of 5 stars","-20"
"106",8,"Tucker Kraft",GB,"TE10","5","2 out of 5 stars","+2"
"107",8,"Jake Ferguson",DAL,"TE11","10","2 out of 5 stars","+29"
"108",8,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+19"
"109",8,"Jordan Mason",MIN,"RB33","6","3 out of 5 stars","+2"
"110",8,"Javonte Williams",DAL,"RB34","10","2 out of 5 stars","-10"
"111",8,"Zach Charbonnet",SEA,"RB35","8","3 out of 5 stars","+4"
"112",9,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+39"
"113",9,"Tyler Warren",IND,"TE12","11","3 out of 5 stars","-11"
"114",9,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+12"
"115",9,"Rhamondre Stevenson",NE,"RB36","14","4 out of 5 stars","-11"
"116",9,"Darnell Mooney",ATL,"WR49","5","3 out of 5 stars","+18"
"117",9,"Matthew Golden",GB,"WR50","5","2 out of 5 stars","-24"
"118",9,"Dalton Kincaid",BUF,"TE13","7","3 out of 5 stars","+5"
"119",9,"J.K. Dobbins",DEN,"RB37","12","2 out of 5 stars","-16"
"120",9,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+21"
"121",9,"Cam Skattebo",NYG,"RB38","14","3 out of 5 stars","-30"
"122",9,"Tyjae Spears",TEN,"RB39","10","2 out of 5 stars","+9"
"123",9,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+7"
"124",9,"Rachaad White",TB,"RB40","9","3 out of 5 stars","+9"
"125",9,"Rashid Shaheed",NO,"WR51","11","4 out of 5 stars","+21"
"126",9,"Najee Harris",LAC,"RB41","12","2 out of 5 stars","-6"
"127",9,"Keon Coleman",BUF,"WR52","7","3 out of 5 stars","-8"
"128",9,"Brandon Aiyuk",SF,"WR53","14","4 out of 5 stars","-7"
"129",9,"Tank Bigsby",JAC,"RB42","8","2 out of 5 stars","+8"
"130",9,"Christian Kirk",HOU,"WR54","6","4 out of 5 stars","+25"
"131",9,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-18"
"132",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+27"
"133",9,"Austin Ekeler",WAS,"RB43","12","2 out of 5 stars","+7"
"134",9,"Cedric Tillman",CLE,"WR55","9","2 out of 5 stars","+61"
"135",9,"Bryce Young",CAR,"QB22","14","3 out of 5 stars","+42"
"136",9,"Jerome Ford",CLE,"RB44","9","4 out of 5 stars","+21"
"137",9,"Luther Burden III",CHI,"WR56","5","2 out of 5 stars","+26"
"138",9,"Hunter Henry",NE,"TE16","14","3 out of 5 stars","+28"
"139",9,"Ray Davis",BUF,"RB45","7","4 out of 5 stars","+25"
"140",9,"Rashod Bateman",BAL,"WR57","7","3 out of 5 stars","+29"
"141",9,"Michael Penix Jr.",ATL,"QB23","5","4 out of 5 stars","+38"
"142",10,"Matthew Stafford",LAR,"QB24","8","3 out of 5 stars","+30"
"143",10,"Quinshon Judkins",CLE,"RB46","9","4 out of 5 stars","-33"
"144",10,"Tyler Allgeier",ATL,"RB47","5","4 out of 5 stars","+21"
"145",10,"Trey Benson",ARI,"RB48","8","3 out of 5 stars","+8"
"146",10,"Jayden Higgins",HOU,"WR58","6","4 out of 5 stars","-1"
"147",10,"Marvin Mims Jr.",DEN,"WR59","12","3 out of 5 stars","+2"
"148",10,"Marquise Brown",KC,"WR60","10","3 out of 5 stars","+10"
"149",10,"Jaydon Blue",DAL,"RB49","10","2 out of 5 stars","-11"
"150",10,"Braelon Allen",NYJ,"RB50","9","5 out of 5 stars","+25"
"151",10,"Romeo Doubs",GB,"WR61","5","2 out of 5 stars","+61"
"152",10,"Jonnu Smith",PIT,"TE17","5","3 out of 5 stars","-28"
"153",10,"Wan'Dale Robinson",NYG,"WR62","14","2 out of 5 stars","+37"
"154",10,"Isaac Guerendo",SF,"RB51","14","3 out of 5 stars","-6"
"155",10,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+36"
"156",10,"Zach Ertz",WAS,"TE18","12","3 out of 5 stars","-9"
"157",10,"Adam Thielen",CAR,"WR63","14","4 out of 5 stars","+16"
"158",10,"DeMario Douglas",NE,"WR64","14","3 out of 5 stars","+66"
"159",10,"Rico Dowdle",CAR,"RB52","14","3 out of 5 stars","+55"
"160",10,"Kyle Pitts Sr.",ATL,"TE19","5","3 out of 5 stars","-25"
"161",10,"Tre' Harris",LAC,"WR65","12","3 out of 5 stars","-1"
"162",10,"Dylan Sampson",CLE,"RB53","9","4 out of 5 stars","+14"
"163",10,"Kyle Williams",NE,"WR66","14","3 out of 5 stars","+25"
"164",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-58"
"165",10,"Cameron Ward",TEN,"QB26","10","2 out of 5 stars","+6"
"166",10,"Bhayshul Tuten",JAC,"RB54","8","2 out of 5 stars","-12"
"167",10,"Jaylen Wright",MIA,"RB55","12","4 out of 5 stars","+16"
"168",10,"Sam Darnold",SEA,"QB27","8","4 out of 5 stars","+52"
"169",10,"Xavier Legette",CAR,"WR67","14","4 out of 5 stars","+9"
"170",10,"Quentin Johnston",LAC,"WR68","12","3 out of 5 stars","+49"
"171",10,"Nick Chubb",HOU,"RB56","6","2 out of 5 stars","-15"
"172",10,"Keenan Allen",LAC,"WR69","12","3 out of 5 stars","-20"
"173",10,"Jalen McMillan",TB,"WR70","9","3 out of 5 stars","+19"
"174",10,"Joshua Palmer",BUF,"WR71","7","3 out of 5 stars","+48"
"175",10,"Brenton Strange",JAC,"TE20","8","3 out of 5 stars","+18"
"176",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-59"
"177",10,"Roschon Johnson",CHI,"RB57","5","3 out of 5 stars","+51"
"178",10,"Baltimore Ravens",BAL,"DST3","7","3 out of 5 stars","-56"
"179",10,"Pittsburgh Steelers",PIT,"DST4","5","3 out of 5 stars","-47"
"180",11,"DeAndre Hopkins",BAL,"WR72","7","3 out of 5 stars","+36"
"181",11,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-37"
"182",11,"Mike Gesicki",CIN,"TE21","10","2 out of 5 stars","+28"
"183",11,"Chig Okonkwo",TEN,"TE22","10","3 out of 5 stars","+40"
"184",11,"Houston Texans",HOU,"DST6","6","2 out of 5 stars","-42"
"185",11,"Aaron Rodgers",PIT,"QB28","5","4 out of 5 stars","+14"
"186",11,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-81"
"187",11,"Blake Corum",LAR,"RB58","8","3 out of 5 stars","+54"
"188",11,"Pat Freiermuth",PIT,"TE23","5","3 out of 5 stars","+6"
"189",11,"Buffalo Bills",BUF,"DST7","7","5 out of 5 stars","-50"
"190",11,"Jake Bates",DET,"K2","8","1 out of 5 stars","-65"
"191",11,"Detroit Lions",DET,"DST8","8","1 out of 5 stars","-24"
"192",11,"Kansas City Chiefs",KC,"DST9","10","1 out of 5 stars","-22"
"193",11,"Cameron Dicker",LAC,"K3","12","5 out of 5 stars","-65"
"194",11,"Alec Pierce",IND,"WR73","11","4 out of 5 stars","+53"
"195",11,"Jalen Coker",CAR,"WR74","14","4 out of 5 stars","+105"
"196",11,"Jack Bech",LV,"WR75","8","4 out of 5 stars","-11"
"197",11,"MarShawn Lloyd",GB,"RB59","5","4 out of 5 stars","+37"
"198",11,"Isaiah Likely",BAL,"TE24","7","3 out of 5 stars","-17"
"199",11,"Michael Wilson",ARI,"WR76","8","4 out of 5 stars","+80"
"200",11,"Cade Otton",TB,"TE25","9","3 out of 5 stars","-3"
"201",11,"Seattle Seahawks",SEA,"DST10","8","3 out of 5 stars","-14"
"202",11,"Los Angeles Rams",LAR,"DST11","8","3 out of 5 stars","0"
"203",11,"Chris Boswell",PIT,"K4","5","1 out of 5 stars","-53"
"204",11,"Chase McLaughlin",TB,"K5","9","3 out of 5 stars","-61"
"205",11,"Wil Lutz",DEN,"K6","12","5 out of 5 stars","-21"
"206",11,"Ka'imi Fairbairn",HOU,"K7","6","3 out of 5 stars","-45"
"207",11,"Los Angeles Chargers",LAC,"DST12","12","5 out of 5 stars","-11"
"208",11,"Justice Hill",BAL,"RB60","7","4 out of 5 stars","+3"
"209",11,"Mason Taylor",NYJ,"TE26","9","3 out of 5 stars","+34"
"210",11,"Darius Slayton",NYG,"WR77","14","2 out of 5 stars","+61"
"211",11,"Green Bay Packers",GB,"DST13","5","2 out of 5 stars","-25"
"212",11,"Anthony Richardson Sr.",IND,"QB29","11","3 out of 5 stars","-4"
"213",11,"Harrison Butker",KC,"K8","10","3 out of 5 stars","-39"
"214",11,"Kareem Hunt",KC,"RB61","10","2 out of 5 stars","-25"
"215",11,"Jaylin Noel",HOU,"WR78","6","4 out of 5 stars","+55"
"216",11,"Adonai Mitchell",IND,"WR79","11","4 out of 5 stars","+94"
"217",12,"Will Shipley",PHI,"RB62","9","3 out of 5 stars","+8"
"218",12,"Evan McPherson",CIN,"K9","10","1 out of 5 stars","-18"
"219",12,"New York Jets",NYJ,"DST14","9","5 out of 5 stars","-6"
"220",12,"Dontayvion Wicks",GB,"WR80","5","2 out of 5 stars","+62"
"221",12,"Tyler Bass",BUF,"K10","7","2 out of 5 stars","-39"
"222",12,"Kendre Miller",NO,"RB63","11","4 out of 5 stars","+17"
"223",12,"Miles Sanders",DAL,"RB64","10","2 out of 5 stars","+23"
"224",12,"Andrei Iosivas",CIN,"WR81","10","3 out of 5 stars","+75"
"225",12,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","-57"
"226",12,"Calvin Austin III",PIT,"WR82","5","4 out of 5 stars","+29"
"227",12,"Dalton Schultz",HOU,"TE27","6","3 out of 5 stars","+4"
"228",12,"Tyler Lockett",TEN,"WR83","10","4 out of 5 stars","+28"
"229",12,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-67"
"230",12,"Diontae Johnson",CLE,"WR84","9","2 out of 5 stars","+72"
"231",12,"Elic Ayomanor",TEN,"WR85","10","4 out of 5 stars","+63"
"232",12,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","+20"
"233",12,"Kyle Monangai",CHI,"RB65","5","3 out of 5 stars","+29"
"234",12,"Pat Bryant",DEN,"WR86","12","3 out of 5 stars","+46"
"235",12,"Woody Marks",HOU,"RB66","6","2 out of 5 stars","+40"
"236",12,"DJ Giddens",IND,"RB67","11","2 out of 5 stars","+14"
"237",12,"Elijah Arroyo",SEA,"TE28","8","4 out of 5 stars","-8"
"238",12,"Jason Sanders",MIA,"K12","12","2 out of 5 stars","-58"
"239",12,"Devaughn Vele",DEN,"WR87","12","3 out of 5 stars","+126"
"240",12,"Juwan Johnson",NO,"TE29","11","3 out of 5 stars","+58"
"241",12,"Ja'Tavion Sanders",CAR,"TE30","14","4 out of 5 stars","-4"
"242",12,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-41"
"243",12,"Keaton Mitchell",BAL,"RB68","7","4 out of 5 stars","+17"
"244",12,"Dyami Brown",JAC,"WR88","8","4 out of 5 stars","+34"
"245",12,"Jaleel McLaughlin",DEN,"RB69","12","2 out of 5 stars","+18"
"246",12,"Dallas Cowboys",DAL,"DST16","10","0 out of 5 stars","-42"
"247",12,"Roman Wilson",PIT,"WR89","5","4 out of 5 stars","+66"
